"Priority","AdvisoryScore","Hostname","BusinessUnit","Owner","Service","OS","RiskState","ReadinessScore","MissingPatches","LastPatchedDaysAgo","RebootPending","UnsupportedOS","RecommendedPatchGroup","SuggestedOperatorAction","AdvisoryFactors","Source"
"P1 - Review First","100","BAYOU-FILE-115","Retail","Retail","API","Windows Server 2022","Critical","36","12","179","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 179d; Pending reboot; 12 missing patches; Low readiness 36; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","100","BAYOU-NOC-003","Security","Security","DC","Windows Server 2022","Critical","36","19","173","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 173d; Pending reboot; 19 missing patches; Low readiness 36; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","100","BAYOU-SQL-051","Operations","Operations","WEB","Windows Server 2022","Critical","43","12","167","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 167d; Pending reboot; 12 missing patches; Low readiness 43; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","100","BAYOU-APP-043","Operations","Operations","API","Windows Server 2022","Critical","66","27","149","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 149d; Pending reboot; 27 missing patches; Low readiness 66; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","100","BAYOU-DC-041","Security","Security","API","Windows Server 2022","Critical","36","17","137","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 137d; Pending reboot; 17 missing patches; Low readiness 36; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","100","BAYOU-API-096","Finance","Finance","FILE","Windows Server 2022","Critical","69","13","131","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 131d; Pending reboot; 13 missing patches; Low readiness 69; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","100","BAYOU-APP-081","Operations","Operations","WEB","Windows Server 2022","Critical","60","19","127","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 127d; Pending reboot; 19 missing patches; Low readiness 60; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","100","BAYOU-API-014","Retail","Retail","FILE","Windows Server 2022","Critical","51","17","119","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 119d; Pending reboot; 17 missing patches; Low readiness 51; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","100","BAYOU-EDGE-082","Infrastructure","Infrastructure","DC","Windows Server 2022","Critical","59","15","114","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 114d; Pending reboot; 15 missing patches; Low readiness 59; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","100","BAYOU-API-113","HR","HR","EDGE","Windows Server 2022","Critical","41","13","103","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 103d; Pending reboot; 13 missing patches; Low readiness 41; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","100","BAYOU-APP-100","Infrastructure","Infrastructure","WEB","Windows Server 2022","Critical","41","30","103","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 103d; Pending reboot; 30 missing patches; Low readiness 41; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","100","BAYOU-APP-120","Retail","Retail","SQL","Windows Server 2022","Critical","41","27","103","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 103d; Pending reboot; 27 missing patches; Low readiness 41; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","100","BAY-CS-MAIL-002","Customer Support","Customer Support","Case Mail Relay","Windows Server 2012 R2","Exception","42","12","101","false","true","Unsupported OS Review","Confirm support status, business owner, and maintenance path before patch planning.","Unsupported OS review needed; Stale patch age 101d; 12 missing patches; Low readiness 42","Critical Risk Environment; Before Remediation; Executive Summary; Medium Risk Environment; Export / Reporting View; After Remediation; Healthy Environment"
"P1 - Review First","100","BAY-DATA-DB-010","Data Platform","Data Platform","Analytics Database","Ubuntu 18.04 LTS","Exception","48","10","98","false","true","Unsupported OS Review","Confirm support status, business owner, and maintenance path before patch planning.","Unsupported OS review needed; Stale patch age 98d; 10 missing patches; Low readiness 48","Critical Risk Environment; Before Remediation; Executive Summary; Medium Risk Environment; Export / Reporting View; After Remediation; Healthy Environment"
"P1 - Review First","100","BAYOU-FILE-079","Infrastructure","Infrastructure","API","Windows Server 2022","Critical","41","28","93","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 93d; Pending reboot; 28 missing patches; Low readiness 41; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","95","BAYOU-FILE-047","HR","HR","DC","Windows Server 2022","Critical","68","22","86","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Patch age 86d; Pending reboot; 22 missing patches; Low readiness 68; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","95","BAYOU-FILE-039","Finance","Finance","API","Windows Server 2022","Critical","54","24","71","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Patch age 71d; Pending reboot; 24 missing patches; Low readiness 54; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","95","BAYOU-SQL-029","HR","HR","FILE","Windows Server 2022","Critical","47","29","69","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Patch age 69d; Pending reboot; 29 missing patches; Low readiness 47; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","95","BAYOU-SQL-054","Finance","Finance","FILE","Windows Server 2022","Critical","57","10","55","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Patch age 55d; Pending reboot; 10 missing patches; Low readiness 57; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","90","BAYOU-API-035","Finance","Finance","FILE","Windows Server 2022","Critical","54","29","175","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Stale patch age 175d; 29 missing patches; Low readiness 54; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","90","BAYOU-WEB-074","Finance","Finance","APP","Windows Server 2022","Critical","57","12","172","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Stale patch age 172d; 12 missing patches; Low readiness 57; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","90","BAYOU-API-055","Operations","Operations","FILE","Windows Server 2022","Critical","50","29","163","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Stale patch age 163d; 29 missing patches; Low readiness 50; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","90","BAYOU-NOC-075","Retail","Retail","APP","Windows Server 2022","Critical","69","13","145","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Stale patch age 145d; 13 missing patches; Low readiness 69; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","90","BAYOU-NOC-106","Finance","Finance","APP","Windows Server 2022","Critical","62","13","141","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Stale patch age 141d; 13 missing patches; Low readiness 62; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","90","BAYOU-SQL-033","Retail","Retail","WEB","Windows Server 2022","Critical","66","19","139","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Stale patch age 139d; 19 missing patches; Low readiness 66; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","90","BAYOU-WEB-061","Security","Security","WEB","Windows Server 2022","Critical","44","30","131","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Stale patch age 131d; 30 missing patches; Low readiness 44; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","90","BAYOU-FILE-012","Retail","Retail","API","Windows Server 2022","Critical","57","19","128","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Stale patch age 128d; 19 missing patches; Low readiness 57; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","90","BAYOU-DC-048","Retail","Retail","DC","Windows Server 2022","Critical","42","13","125","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Stale patch age 125d; 13 missing patches; Low readiness 42; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","90","BAYOU-NOC-099","Infrastructure","Infrastructure","API","Windows Server 2022","Critical","58","12","123","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Stale patch age 123d; 12 missing patches; Low readiness 58; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","90","BAYOU-WEB-071","Infrastructure","Infrastructure","WEB","Windows Server 2022","Critical","42","17","122","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Stale patch age 122d; 17 missing patches; Low readiness 42; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","90","BAYOU-FILE-023","Infrastructure","Infrastructure","WEB","Windows Server 2022","Critical","48","10","121","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Stale patch age 121d; 10 missing patches; Low readiness 48; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","90","BAYOU-API-090","Finance","Finance","DC","Windows Server 2022","Critical","58","19","118","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Stale patch age 118d; 19 missing patches; Low readiness 58; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","90","BAYOU-APP-005","HR","HR","WEB","Windows Server 2022","Critical","62","15","117","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Stale patch age 117d; 15 missing patches; Low readiness 62; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","90","BAYOU-WEB-017","Infrastructure","Infrastructure","EDGE","Windows Server 2022","Critical","47","10","115","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Stale patch age 115d; 10 missing patches; Low readiness 47; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","90","BAYOU-APP-016","Finance","Finance","SQL","Windows Server 2022","Critical","44","30","106","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Stale patch age 106d; 30 missing patches; Low readiness 44; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","90","BAYOU-WEB-042","Operations","Operations","EDGE","Windows Server 2022","Critical","63","29","106","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Stale patch age 106d; 29 missing patches; Low readiness 63; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","90","BAYOU-SQL-063","HR","HR","SQL","Windows Server 2022","Critical","60","29","96","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Stale patch age 96d; 29 missing patches; Low readiness 60; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","85","NOLA-FS-002","Collector Output","Unassigned","Patch Inventory","Microsoft Windows Server 2012 R2 Standard","Collector","48","0","105","false","true","Unsupported OS Review","Confirm support status, business owner, and maintenance path before patch planning.","Unsupported OS review needed; Stale patch age 105d; Low readiness 48","patch-inventory.sample.json; patch-inventory.sample.csv"
"P1 - Review First","85","BAY-MFG-HMI-011","Manufacturing IT","Manufacturing IT","Plant Floor Gateway","Windows Server 2012 R2","Exception","44","6","80","false","true","Unsupported OS Review","Confirm support status, business owner, and maintenance path before patch planning.","Unsupported OS review needed; Patch age 80d; 6 missing patches; Low readiness 44","Critical Risk Environment; Before Remediation; Executive Summary; Medium Risk Environment; Export / Reporting View; After Remediation; Healthy Environment"
"P1 - Review First","80","BAYOU-SQL-059","HR","HR","WEB","Windows Server 2022","Critical","63","10","89","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Patch age 89d; 10 missing patches; Low readiness 63; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","80","BAYOU-DC-031","HR","HR","EDGE","Windows Server 2022","Critical","51","11","85","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Patch age 85d; 11 missing patches; Low readiness 51; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","80","BAYOU-API-049","Finance","Finance","DC","Windows Server 2022","Critical","47","17","80","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Patch age 80d; 17 missing patches; Low readiness 47; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","80","BAYOU-FILE-050","Operations","Operations","SQL","Windows Server 2022","Critical","52","30","77","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Patch age 77d; 30 missing patches; Low readiness 52; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","80","BAYOU-NOC-117","Finance","Finance","API","Windows Server 2022","Critical","62","19","69","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Patch age 69d; 19 missing patches; Low readiness 62; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","80","BAYOU-SQL-111","Retail","Retail","NOC","Windows Server 2022","Critical","65","15","67","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Patch age 67d; 15 missing patches; Low readiness 65; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","80","BAYOU-APP-089","HR","HR","APP","Windows Server 2022","Critical","54","27","65","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Patch age 65d; 27 missing patches; Low readiness 54; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","80","BAYOU-DC-098","Retail","Retail","EDGE","Windows Server 2022","Critical","53","13","63","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Patch age 63d; 13 missing patches; Low readiness 53; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","80","BAYOU-SQL-062","Infrastructure","Infrastructure","SQL","Windows Server 2022","Critical","48","17","62","false","false","Stale Systems","Review with owner and schedule approved maintenance window.","Patch age 62d; 17 missing patches; Low readiness 48; Risk state Critical","bayouops-demo-1780279545689.json"
"P2 - Schedule Soon","70","BAY-FIN-APP-044","Finance Operations","Finance Operations","ERP Application","Windows Server 2016","Watch","60","8","95","false","false","Stale Systems","Add to upcoming approved patch window after owner review.","Stale patch age 95d; 8 missing patches; Low readiness 60; Risk state Watch","Critical Risk Environment; Before Remediation; Executive Summary; Medium Risk Environment; Export / Reporting View; After Remediation; Healthy Environment"
"P2 - Schedule Soon","70","BAY-DATA-ETL-018","Data Platform","Data Platform","ETL Worker","Red Hat Enterprise Linux 8","Watch","68","10","86","false","false","Stale Systems","Add to upcoming approved patch window after owner review.","Patch age 86d; 10 missing patches; Low readiness 68; Risk state Watch","Critical Risk Environment; Before Remediation; Executive Summary; Medium Risk Environment; Export / Reporting View; After Remediation; Healthy Environment"
"P2 - Schedule Soon","60","BAY-REV-WEB-031","Revenue Systems","Revenue Systems","Revenue Web","Windows Server 2022","Watch","73","6","92","false","false","Stale Systems","Add to upcoming approved patch window after owner review.","Stale patch age 92d; 6 missing patches; Readiness watch 73; Risk state Watch","Critical Risk Environment; Before Remediation; Executive Summary; Medium Risk Environment; Export / Reporting View; After Remediation; Healthy Environment"
"P2 - Schedule Soon","60","BAY-CORP-FILE-029","Corporate Security","Corporate Security","File Services","Windows Server 2019","Exception","66","12","89","false","false","Stale Systems","Add to upcoming approved patch window after owner review.","Patch age 89d; 12 missing patches; Low readiness 66","Critical Risk Environment; Before Remediation; Executive Summary; Medium Risk Environment; Export / Reporting View; After Remediation; Healthy Environment"
"P2 - Schedule Soon","60","BAY-SEC-EDGE-005","Corporate Security","Corporate Security","VPN Edge","Ubuntu 20.04 LTS","Watch","62","8","83","false","false","Stale Systems","Add to upcoming approved patch window after owner review.","Patch age 83d; 8 missing patches; Low readiness 62; Risk state Watch","Critical Risk Environment; Before Remediation; Executive Summary; Medium Risk Environment; Export / Reporting View; After Remediation; Healthy Environment"
"P2 - Schedule Soon","60","BAY-FLD-RDS-003","Field Services","Field Services","Remote Desktop Gateway","Windows Server 2016","Exception","58","12","77","false","false","Stale Systems","Add to upcoming approved patch window after owner review.","Patch age 77d; 12 missing patches; Low readiness 58","Critical Risk Environment; Before Remediation; Executive Summary; Medium Risk Environment; Export / Reporting View; After Remediation; Healthy Environment"
"P2 - Schedule Soon","60","BAY-CS-WEB-007","Customer Support","Customer Support","Support Portal","Windows Server 2022","Watch","74","10","74","false","false","Stale Systems","Add to upcoming approved patch window after owner review.","Patch age 74d; 10 missing patches; Readiness watch 74; Risk state Watch","Critical Risk Environment; Before Remediation; Executive Summary; Medium Risk Environment; Export / Reporting View; After Remediation; Healthy Environment"
"P2 - Schedule Soon","55","HOU-WMS-014","Collector Output","Unassigned","Patch Inventory","Microsoft Windows Server 2016 Standard","Collector","61","0","59","true","false","Reboot + Stale Patch Review","Add to upcoming approved patch window after owner review.","Patch age 59d; Pending reboot; Low readiness 61","patch-inventory.sample.json; patch-inventory.sample.csv"
"P2 - Schedule Soon","55","BAYOU-APP-019","Finance","Finance","FILE","Windows Server 2022","Warning","73","9","44","true","false","Pending Reboot Review","Add to upcoming approved patch window after owner review.","Patch age 44d; Pending reboot; 9 missing patches; Readiness watch 73; Risk state Warning","bayouops-demo-1780279545689.json"
